gap_id,gap_length,season,is_high_chl_event,n_days
L01_20150820,1,JJA,False,1
L01_20150908,1,SON,False,1
L01_20151027,1,SON,False,1
L01_20160206,1,DJF,False,1
L01_20160302,1,MAM,False,1
L01_20160312,1,MAM,False,1
L01_20160325,1,MAM,False,1
L01_20160914,1,SON,False,1
L01_20160919,1,SON,False,1
L01_20161112,1,SON,False,1
L01_20161130,1,SON,False,1
L01_20170212,1,DJF,False,1
L01_20170410,1,MAM,False,1
L01_20170429,1,MAM,False,1
L01_20170504,1,MAM,False,1
L01_20170608,1,JJA,False,1
L01_20170901,1,SON,False,1
L01_20170925,1,SON,False,1
L01_20171026,1,SON,True,1
L01_20171119,1,SON,True,1
L01_20171120,1,SON,True,1
L01_20180113,1,DJF,False,1
L01_20180130,1,DJF,False,1
L01_20180307,1,MAM,False,1
L01_20180422,1,MAM,False,1
L01_20180520,1,MAM,False,1
L01_20180609,1,JJA,False,1
L01_20180725,1,JJA,False,1
L01_20180831,1,JJA,False,1
L01_20180912,1,SON,False,1
L01_20180925,1,SON,False,1
L01_20181020,1,SON,False,1
L01_20181021,1,SON,False,1
L01_20181029,1,SON,True,1
L01_20181104,1,SON,False,1
L01_20190427,1,MAM,False,1
L01_20190605,1,JJA,False,1
L01_20190624,1,JJA,False,1
L01_20190813,1,JJA,False,1
L01_20190814,1,JJA,False,1
L01_20190816,1,JJA,False,1
L01_20191019,1,SON,False,1
L01_20191125,1,SON,False,1
L01_20191127,1,SON,False,1
L01_20200116,1,DJF,False,1
L01_20201128,1,SON,False,1
L01_20210112,1,DJF,False,1
L01_20210223,1,DJF,False,1
L01_20210305,1,MAM,False,1
L01_20210328,1,MAM,False,1
L01_20210416,1,MAM,False,1
L01_20210510,1,MAM,False,1
L01_20210526,1,MAM,False,1
L01_20210528,1,MAM,True,1
L01_20210602,1,JJA,False,1
L01_20210903,1,SON,False,1
L01_20211120,1,SON,False,1
L01_20211216,1,DJF,False,1
L01_20211225,1,DJF,False,1
L01_20220122,1,DJF,False,1
L01_20220128,1,DJF,False,1
L01_20220408,1,MAM,False,1
L01_20220509,1,MAM,False,1
L01_20220520,1,MAM,False,1
L01_20220607,1,JJA,False,1
L01_20220620,1,JJA,True,1
L01_20221109,1,SON,False,1
L01_20221218,1,DJF,False,1
L01_20230215,1,DJF,False,1
L01_20230426,1,MAM,False,1
L01_20230428,1,MAM,True,1
L01_20230624,1,JJA,False,1
L01_20230911,1,SON,False,1
L01_20230919,1,SON,False,1
L01_20230927,1,SON,False,1
L01_20231213,1,DJF,False,1
L01_20240227,1,DJF,False,1
L01_20240625,1,JJA,False,1
L01_20240716,1,JJA,False,1
L01_20240924,1,SON,False,1
L01_20241016,1,SON,False,1
L01_20241122,1,SON,False,1
L01_20241124,1,SON,False,1
L01_20241127,1,SON,False,1
L01_20241128,1,SON,False,1
L01_20241129,1,SON,False,1
L01_20241218,1,DJF,False,1
L01_20250101,1,DJF,False,1
L01_20250220,1,DJF,False,1
L01_20250223,1,DJF,False,1
L01_20250412,1,MAM,False,1
L01_20250608,1,JJA,False,1
L01_20250724,1,JJA,False,1
L01_20251024,1,SON,True,1
L01_20251222,1,DJF,False,1
L01_20260110,1,DJF,False,1
L01_20260119,1,DJF,False,1
L01_20260210,1,DJF,True,1
L01_20260211,1,DJF,True,1
L03_20150718,3,JJA,False,3
L03_20150906,3,SON,False,3
L03_20151015,3,SON,True,3
L03_20151106,3,SON,False,3
L03_20160129,3,DJF,False,3
L03_20160406,3,MAM,False,3
L03_20160515,3,MAM,False,3
L03_20160521,3,MAM,False,3
L03_20160524,3,MAM,False,3
L03_20160919,3,SON,False,3
L03_20160927,3,SON,False,3
L03_20161109,3,SON,False,3
L03_20161116,3,SON,False,3
L03_20161123,3,SON,False,3
L03_20170414,3,MAM,False,3
L03_20170427,3,MAM,False,3
L03_20170616,3,JJA,False,3
L03_20170706,3,JJA,False,3
L03_20170723,3,JJA,False,3
L03_20171107,3,SON,True,3
L03_20171113,3,SON,True,3
L03_20180123,3,DJF,False,3
L03_20180304,3,MAM,False,3
L03_20180528,3,MAM,False,3
L03_20180813,3,JJA,False,3
L03_20180902,3,SON,False,3
L03_20181008,3,SON,False,3
L03_20181031,3,SON,False,3
L03_20181118,3,SON,False,3
L03_20181123,3,SON,False,3
L03_20181230,3,DJF,False,3
L03_20190127,3,DJF,True,3
L03_20190222,3,DJF,False,3
L03_20190629,3,JJA,False,3
L03_20190714,3,JJA,False,3
L03_20190810,3,JJA,False,3
L03_20190817,3,JJA,False,3
L03_20191029,3,SON,False,3
L03_20191110,3,SON,True,3
L03_20200102,3,DJF,False,3
L03_20200116,3,DJF,False,3
L03_20200119,3,DJF,False,3
L03_20200203,3,DJF,False,3
L03_20210108,3,DJF,True,3
L03_20210123,3,DJF,True,3
L03_20210127,3,DJF,True,3
L03_20210215,3,DJF,False,3
L03_20210219,3,DJF,False,3
L03_20210325,3,MAM,False,3
L03_20210413,3,MAM,False,3
L03_20210501,3,MAM,False,3
L03_20210618,3,JJA,False,3
L03_20210628,3,JJA,False,3
L03_20210909,3,SON,False,3
L03_20220107,3,DJF,False,3
L03_20220122,3,DJF,False,3
L03_20220315,3,MAM,True,3
L03_20220326,3,MAM,False,3
L03_20220426,3,MAM,False,3
L03_20220506,3,MAM,False,3
L03_20220522,3,MAM,False,3
L03_20220601,3,JJA,False,3
L03_20220723,3,JJA,False,3
L03_20221015,3,SON,True,3
L03_20230105,3,DJF,True,3
L03_20230120,3,DJF,False,3
L03_20230131,3,DJF,False,3
L03_20230316,3,MAM,False,3
L03_20230407,3,MAM,False,3
L03_20230616,3,JJA,False,3
L03_20230701,3,JJA,False,3
L03_20231028,3,SON,False,3
L03_20231222,3,DJF,False,3
L03_20231225,3,DJF,False,3
L03_20240131,3,DJF,False,3
L03_20240228,3,DJF,False,3
L03_20240312,3,MAM,False,3
L03_20240604,3,JJA,False,3
L03_20240608,3,JJA,False,3
L03_20240620,3,JJA,False,3
L03_20240730,3,JJA,False,3
L03_20240928,3,SON,True,3
L03_20241016,3,SON,False,3
L03_20241201,3,DJF,False,3
L03_20241209,3,DJF,False,3
L03_20241219,3,DJF,False,3
L03_20241224,3,DJF,False,3
L03_20250125,3,DJF,False,3
L03_20250215,3,DJF,False,3
L03_20250406,3,MAM,False,3
L03_20250424,3,MAM,False,3
L03_20250529,3,MAM,False,3
L03_20250820,3,JJA,False,3
L03_20250907,3,SON,True,3
L03_20251008,3,SON,True,3
L03_20260106,3,DJF,False,3
L03_20260123,3,DJF,False,3
L03_20260217,3,DJF,True,3
L03_20260303,3,MAM,True,3
L03_20260310,3,MAM,False,3
L07_20150719,7,JJA,True,7
L07_20150828,7,JJA,False,7
L07_20150918,7,SON,True,7
L07_20150930,7,SON,True,7
L07_20151030,7,SON,False,7
L07_20160119,7,DJF,False,7
L07_20160214,7,DJF,False,7
L07_20160302,7,MAM,False,7
L07_20160315,7,MAM,False,7
L07_20160330,7,MAM,False,7
L07_20160430,7,MAM,False,7
L07_20160510,7,MAM,False,7
L07_20160523,7,MAM,False,7
L07_20160601,7,JJA,False,7
L07_20161111,7,SON,False,7
L07_20170411,7,MAM,True,7
L07_20170424,7,MAM,False,7
L07_20170624,7,JJA,False,7
L07_20171001,7,SON,False,7
L07_20171011,7,SON,False,7
L07_20171019,7,SON,True,7
L07_20180226,7,MAM,False,7
L07_20180409,7,MAM,False,7
L07_20180819,7,JJA,False,7
L07_20181030,7,SON,False,7
L07_20181115,7,SON,False,7
L07_20190115,7,DJF,True,7
L07_20190209,7,DJF,True,7
L07_20190519,7,MAM,False,7
L07_20190602,7,JJA,False,7
