date,n_expected_hours,n_rows,valid_hours,coverage_fraction,quality_class,target_eligible_default,eligible_ge_12,eligible_ge_17,eligible_ge_18,eligible_ge_22,chl_mean,chl_median,chl_std,chl_min,chl_max,chl_q10,chl_q25,chl_q75,chl_q90,raw_prom_non_na_count,raw_prom_na_count,negative_chl_count,invalid_chl_count,first_valid_hour,last_valid_hour,longest_invalid_run_hours,data_pc_min,data_pc_median,data_pc_mean,data_pc_max,data_pc_zero_count,data_pc_nonzero_count,data_pc_100_count,timezone_status,source_file_count_or_source_note
2015-07-01,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-02,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-03,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-04,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-05,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-06,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-07,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-08,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-09,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-10,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-11,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-12,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-13,24,24,0,0.0,missing,False,False,False,False,False,,,,,,,,,,0,24,0,0,,,24,0.0,0.0,0.0,0.0,24,0,0,reported_gmt_minus_4_unconverted,1
2015-07-14,24,24,11,0.458333,weak,False,False,False,False,False,1.6829090909090907,1.799,0.35616076553866927,1.264,2.124,1.279,1.2959999999999998,1.9855,2.071,11,13,0,0,13.0,23.0,13,0.0,0.0,45.833333333333336,100.0,13,11,11,reported_gmt_minus_4_unconverted,1
2015-07-15,24,24,24,1.0,high,True,True,True,True,True,1.0390833333333334,0.898,0.36212247707895334,0.665,1.976,0.6945,0.799,1.1755,1.5070999999999999,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-16,24,24,24,1.0,high,True,True,True,True,True,0.9799166666666667,0.989,0.19189737217918165,0.609,1.278,0.6893,0.8565,1.13825,1.1907999999999999,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-17,24,24,24,1.0,high,True,True,True,True,True,0.9585,1.0255,0.19905559634128003,0.571,1.335,0.6781,0.82,1.09975,1.1478,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-18,24,24,24,1.0,high,True,True,True,True,True,1.6441666666666663,1.436,0.48880125477198466,0.997,2.426,1.1556,1.22425,2.16525,2.3178,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-19,24,24,24,1.0,high,True,True,True,True,True,3.1671666666666667,2.909,0.850737054695447,2.068,4.922,2.2268,2.5915,3.811,4.4033,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-20,24,24,24,1.0,high,True,True,True,True,True,4.803541666666667,4.388999999999999,1.1561148949660318,2.592,6.345,3.3972,4.08875,5.9885,6.2024,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-21,24,24,24,1.0,high,True,True,True,True,True,5.633541666666666,5.4505,1.0072122085097133,3.436,7.419,4.6096,5.0025,6.3875,6.8356,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-22,24,24,24,1.0,high,True,True,True,True,True,8.091583333333334,8.003,1.073257735432951,6.139,10.419,6.873,7.1965,8.98325,9.5048,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-23,24,24,24,1.0,high,True,True,True,True,True,7.7175,7.2255,1.706821225451621,5.29,10.471,5.5573,6.583,9.0105,10.0458,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-24,24,24,24,1.0,high,True,True,True,True,True,10.013875,9.1255,2.013867236082165,7.225,13.506,8.0017,8.878,12.408999999999999,13.0179,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-25,24,24,24,1.0,high,True,True,True,True,True,11.933458333333334,11.8325,3.072028348193006,6.592,16.938,7.5128,10.440750000000001,14.40875,16.273799999999998,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-26,24,24,24,1.0,high,True,True,True,True,True,12.118458333333331,12.927499999999998,3.0134778114211387,5.032,15.96,8.0974,10.02375,14.47725,15.2659,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
2015-07-27,24,24,24,1.0,high,True,True,True,True,True,10.598291666666666,10.163,1.4573671161488049,9.149,14.05,9.273,9.39675,11.314,12.831299999999999,24,0,0,0,0.0,23.0,0,100.0,100.0,100.0,100.0,0,24,24,reported_gmt_minus_4_unconverted,1
