gap_id,start_date,end_date,length_days,gap_class,seasons,year_start,year_end,pre_edge_available,post_edge_available,interpolation_admissible,gap_edge_features_admissible,nearest_val_lengths,extrapolation_beyond_validation,notes
REAL_L010_20150701,2015-07-01,2015-07-14,14,medium,JJA,2015,2015,False,True,False,False,14,no,
REAL_L010_20150804,2015-08-04,2015-08-18,15,medium,JJA,2015,2015,True,True,True,True,14–30,interpolation_within_range,
REAL_L001_20150914,2015-09-14,2015-09-14,1,short,SON,2015,2015,True,True,True,True,1,no,
REAL_L001_20151019,2015-10-19,2015-10-19,1,short,SON,2015,2015,True,True,True,True,1,no,
REAL_L001_20151109,2015-11-09,2015-11-13,5,short,SON,2015,2015,True,True,True,True,3–7,interpolation_within_range,
REAL_L031_20151130,2015-11-30,2016-01-13,45,long,DJF,2015,2016,True,True,True,True,30–?,yes,
REAL_L001_20160201,2016-02-01,2016-02-04,4,short,DJF,2016,2016,True,True,True,True,3–7,interpolation_within_range,
REAL_L001_20160616,2016-06-16,2016-06-21,6,short,JJA,2016,2016,True,True,True,True,3–7,interpolation_within_range,
REAL_L001_20160719,2016-07-19,2016-07-21,3,short,JJA,2016,2016,True,True,True,True,3,no,
REAL_L001_20160726,2016-07-26,2016-07-26,1,short,JJA,2016,2016,True,True,True,True,1,no,
REAL_L001_20160728,2016-07-28,2016-07-30,3,short,JJA,2016,2016,True,True,True,True,3,no,
REAL_L001_20160803,2016-08-03,2016-08-03,1,short,JJA,2016,2016,True,True,True,True,1,no,
REAL_L001_20160805,2016-08-05,2016-08-05,1,short,JJA,2016,2016,True,True,True,True,1,no,
REAL_L001_20160809,2016-08-09,2016-08-10,2,short,JJA,2016,2016,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20160816,2016-08-16,2016-08-16,1,short,JJA,2016,2016,True,True,True,True,1,no,
REAL_L001_20160823,2016-08-23,2016-08-24,2,short,JJA,2016,2016,True,True,True,True,1–3,interpolation_within_range,
REAL_L001_20160830,2016-08-30,2016-08-30,1,short,JJA,2016,2016,True,True,True,True,1,no,
REAL_L001_20160906,2016-09-06,2016-09-06,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20160909,2016-09-09,2016-09-09,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20160916,2016-09-16,2016-09-16,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20160923,2016-09-23,2016-09-23,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20160930,2016-09-30,2016-09-30,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20161007,2016-10-07,2016-10-07,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20161014,2016-10-14,2016-10-14,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20161021,2016-10-21,2016-10-21,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20161028,2016-10-28,2016-10-28,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20161106,2016-11-06,2016-11-06,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20161120,2016-11-20,2016-11-20,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20161127,2016-11-27,2016-11-27,1,short,SON,2016,2016,True,True,True,True,1,no,
REAL_L001_20161204,2016-12-04,2016-12-04,1,short,DJF,2016,2016,True,True,True,True,1,no,
REAL_L001_20161211,2016-12-11,2016-12-11,1,short,DJF,2016,2016,True,True,True,True,1,no,
