date,n_expected_hours,n_rows,valid_hours,coverage_fraction,quality_class,eligible_ge_12,eligible_ge_17,eligible_ge_18,eligible_ge_22,oxygen_mean_mgL,oxygen_median_mgL,oxygen_std_mgL,oxygen_min_mgL,oxygen_max_mgL,oxygen_q10_mgL,oxygen_q25_mgL,oxygen_q75_mgL,oxygen_q90_mgL,raw_prom_non_na_count,raw_prom_na_count,negative_oxygen_count,zero_oxygen_count,invalid_oxygen_count,first_valid_hour,last_valid_hour,longest_invalid_run_hours,source_variable,unit,timezone_status
2015-07-01,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-02,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-03,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-04,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-05,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-06,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-07,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-08,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-09,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-10,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-11,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
2015-07-12,24,24,0,0.0,missing,False,False,False,False,,,,,,,,,,0,24,0,0,0,,,24,BTGOXD2,mg/L,reported_gmt_minus_4_unconverted
