date,interpolation_chl_mean,tsicl_satellite_proxy_chl_mean,ext_tabular_hgb_chl_mean
2024-01-03,1.4849,1.8577,3.5633
2024-01-04,1.6364,1.9443,3.484
2024-01-05,1.8033,3.2147,4.3896
2024-01-06,1.9873,3.0944,3.6851
2024-01-07,2.19,3.2092,3.1581
2024-01-08,2.4134,3.8967,3.0918
2024-01-09,2.6596,2.6892,1.993
2024-01-10,2.9309,3.1582,1.7149
2024-01-11,3.2299,3.2309,2.4119
2024-01-12,3.5594,3.293,2.7982
2024-01-13,3.9225,3.5411,3.7809
2024-01-14,4.3226,3.7185,3.1593
2024-01-15,4.7636,3.7686,2.5073
2024-01-16,5.2495,4.5123,1.6213
