method_public_name,stratum_type,stratum_value,n_gaps,day_weighted_mae,rmse,median_ae
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=1,99,0.106,0.1436,0.0907
Linear interpolation baseline,gap_length,L=1,99,0.1077,0.145,0.0883
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=3,100,0.1222,0.1626,0.0878
Linear interpolation baseline,gap_length,L=3,100,0.1329,0.1748,0.1057
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=7,100,0.1796,0.2451,0.1363
Linear interpolation baseline,gap_length,L=7,100,0.1904,0.2614,0.1426
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=10,100,0.2088,0.2894,0.1563
Linear interpolation baseline,gap_length,L=10,100,0.2252,0.3142,0.1656
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=14,100,0.2345,0.3101,0.1825
Linear interpolation baseline,gap_length,L=14,100,0.2535,0.3414,0.1941
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=21,80,0.2531,0.3328,0.2059
Linear interpolation baseline,gap_length,L=21,80,0.2747,0.3615,0.2195
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=30,50,0.2542,0.3376,0.2035
Linear interpolation baseline,gap_length,L=30,50,0.2779,0.3622,0.2279
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=45,29,0.2923,0.394,0.2194
Linear interpolation baseline,gap_length,L=45,29,0.3578,0.4559,0.2937
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=60,22,0.2766,0.3585,0.2274
Linear interpolation baseline,gap_length,L=60,22,0.3094,0.4092,0.2397
TS-ICL (satellite chlorophyll proxy covariate),gap_length,L=1,100,0.1059,0.1432,0.0906
Gaussian process (time-only),gap_length,L=1,100,0.1032,0.1406,0.0786
Gaussian process (time-only),gap_length,L=3,100,0.129,0.1708,0.0909
Gaussian process (time-only),gap_length,L=7,100,0.1989,0.2637,0.1615
Gaussian process (time-only),gap_length,L=10,100,0.2273,0.3066,0.1769
Gaussian process (time-only),gap_length,L=14,100,0.2481,0.3266,0.1964
Gaussian process (time-only),gap_length,L=21,80,0.2755,0.3508,0.2253
Gaussian process (time-only),gap_length,L=30,50,0.266,0.3495,0.2153
Gaussian process (time-only),gap_length,L=45,29,0.3065,0.398,0.2405
Gaussian process (time-only),gap_length,L=60,22,0.319,0.4026,0.2626
Engineered hybrid pipeline (validation-aware method assignment),gap_length,L=1,100,0.1032,0.1406,0.0786
Engineered hybrid pipeline (validation-aware method assignment),gap_length,L=3,100,0.129,0.1708,0.0909
Engineered hybrid pipeline (validation-aware method assignment),gap_length,L=7,100,0.1891,0.2604,0.1424
Engineered hybrid pipeline (validation-aware method assignment),gap_length,L=10,100,0.2233,0.3128,0.1632
Engineered hybrid pipeline (validation-aware method assignment),gap_length,L=14,100,0.2523,0.3406,0.1917
Engineered hybrid pipeline (validation-aware method assignment),gap_length,L=21,80,0.2754,0.3639,0.2175
Engineered hybrid pipeline (validation-aware method assignment),gap_length,L=30,50,0.2651,0.3453,0.2164
Engineered hybrid pipeline (validation-aware method assignment),gap_length,L=45,29,0.3173,0.4188,0.247
Engineered hybrid pipeline (validation-aware method assignment),gap_length,L=60,22,0.2938,0.3953,0.2327
"TS-ICL (target-only, no covariates)",gap_length,L=1,100,0.106,0.145,0.0831
"TS-ICL (target-only, no covariates)",gap_length,L=3,100,0.1231,0.1626,0.0913
"TS-ICL (target-only, no covariates)",gap_length,L=7,100,0.186,0.255,0.139
