method_public_name,n_event_days,n_nonevent_days,mae_event_days,mae_nonevent_days,event_penalty_mae_event_minus_nonevent,mae_sustained_event,p90_abs_error_event,p90_abs_error_nonevent,amplitude_bias_log10_event_days,false_flatten_rate_event_days,false_bloom_rate_nonevent_days
Linear interpolation baseline,4097,5207,0.3229,0.2295,0.0934,0.3404,0.7054,0.495,-0.0044,0.2216,0.1652
Monthly climatology baseline,4097,5208,0.3476,0.3546,-0.007,0.4864,0.7322,0.6983,0.0093,0.2236,0.4827
Gaussian process (time-only),4097,5208,0.3158,0.2212,0.0945,0.4283,0.6537,0.4771,-0.0706,0.2619,0.1761
Engineered hybrid pipeline (validation-aware method assignment),4097,5208,0.3087,0.2219,0.0868,0.365,0.6514,0.4786,-0.0459,0.2387,0.1686
Gap-edge residual model (deployed),1296,2703,0.2806,0.2046,0.0759,0.3331,0.5556,0.4424,-0.0964,0.2523,0.1469
"TS-ICL (target-only, no covariates)",4097,5208,0.301,0.2108,0.0902,0.393,0.6152,0.4515,-0.0635,0.2526,0.1688
TS-ICL (satellite chlorophyll proxy covariate),4097,5208,0.2916,0.2052,0.0864,0.3807,0.5986,0.453,-0.052,0.2338,0.1611
TS-ICL (wind/upwelling forcing covariate),4097,5208,0.2998,0.2066,0.0932,0.4052,0.6251,0.4423,-0.0825,0.2631,0.1732
TS-ICL (curated physical-forcing covariate set),4097,5208,0.2991,0.2058,0.0934,0.4081,0.6113,0.4364,-0.0815,0.2592,0.1588
TS-ICL (ocean current/transport covariate),4097,5208,0.3136,0.2209,0.0927,0.4448,0.6458,0.475,-0.0965,0.2922,0.1945
TS-ICL (full redundant physical covariate set),4097,5208,0.3115,0.2178,0.0937,0.4652,0.6513,0.4625,-0.1024,0.2844,0.2003
TS-ICL (satellite proxy + current/transport covariate),4097,5208,0.3132,0.2206,0.0927,0.4443,0.6468,0.477,-0.0953,0.2922,0.1959
