method_id,method_label,support,scale,weighting_primary,n_gaps,n_rows,mae_day_weighted,mae_gap_weighted,rmse,bias_mean,median_abs_error,p90_abs_error
canonical_interpolation,Linear interpolation,matched_449,log10,day_weighted,449,3999,0.2389504782778992,0.18317190327442745,0.3236849948153872,0.0021339342709933372,0.180418010866857,0.511819648316125
gp_m1,Gaussian process,matched_449,log10,day_weighted,449,3999,0.23369843051360853,0.18087720221877399,0.313069307152139,-0.002527375035949979,0.1819880692050122,0.5082062105842104
ext_tabular_extratrees,External tabular (ExtraTrees),matched_449,log10,day_weighted,449,3999,0.27735391308339363,0.2652082978990085,0.3593863939825197,-0.01101962127718798,0.22782132619510487,0.567739381968745
tier_ch_deployed,Gap-edge residual model,matched_449,log10,day_weighted,449,3999,0.22925441637476826,0.18368032156508385,0.3042309654445189,-0.008802623358960303,0.1791876512393446,0.4835115293225569
tsicl_target_only,TS-ICL target-only,matched_449,log10,day_weighted,449,3999,0.2251975320982093,0.17422232858601402,0.30243681228967,0.005780416250352719,0.1739784106612206,0.48028959631919893
tsicl_satellite_proxy,TS-ICL satellite-proxy,matched_449,log10,day_weighted,449,3999,0.22067814157043827,0.17113281669374117,0.2990351196901356,0.009695259201140732,0.168627142906189,0.4803708732128144
ext_tabular_hgb,External tabular (HGB),matched_449,log10,day_weighted,449,3999,0.2873087670455903,0.27566646843457904,0.3740605399085576,-0.00860902949149972,0.22972274972231133,0.6109899310831368
canonical_interpolation,Linear interpolation,full_681,log10,day_weighted,680,9304,0.2706028123004835,0.21166108357068752,0.3635294249976712,0.012086978412307773,0.20520905896979585,0.5889874071229451
gp_m1,Gaussian process,full_681,log10,day_weighted,681,9305,0.26284171483164104,0.2083670401224195,0.3459124839591608,-0.0004731829859817371,0.2075697473422874,0.5694978256084914
ext_tabular_extratrees,External tabular (ExtraTrees),full_681,log10,day_weighted,449,3999,0.27735391308339363,0.2652082978990085,0.3593863939825197,-0.01101962127718798,0.22782132619510487,0.567739381968745
tsicl_target_only,TS-ICL target-only,full_681,log10,day_weighted,681,9305,0.25050885541546464,0.19925756908186482,0.3333506354917161,0.003238202168502129,0.1955696344375611,0.5409650504589082
tsicl_satellite_proxy,TS-ICL satellite-proxy,full_681,log10,day_weighted,681,9305,0.24321514959823667,0.19473962552937807,0.32778144808660187,0.007902824185918245,0.1863531470298766,0.5266416609287263
ext_tabular_hgb,External tabular (HGB),full_681,log10,day_weighted,449,3999,0.2873087670455903,0.27566646843457904,0.3740605399085576,-0.00860902949149972,0.22972274972231133,0.6109899310831368
